#   2H + 116Sn elastic scattering Elab=183 Mev
# --------- Optical Potential ---------  
#     r(fm)       V(MeV)       W(MeV)
       1.84       -39.2602       -17.0084
       1.85       -39.2620       -17.0083
       1.86       -39.2638       -17.0081
       1.87       -39.2657       -17.0080
       1.88       -39.2675       -17.0078
       1.89       -39.2694       -17.0077
       1.90       -39.2712       -17.0076
       1.91       -39.2731       -17.0074
       1.92       -39.2749       -17.0073
       1.93       -39.2768       -17.0071
       1.94       -39.2786       -17.0070
       1.95       -39.2805       -17.0068
       1.96       -39.2823       -17.0067
       1.97       -39.2842       -17.0065
       1.98       -39.2861       -17.0063
       1.99       -39.2880       -17.0062
       2.00       -39.2899       -17.0060
       2.01       -39.2917       -17.0059
       2.02       -39.2936       -17.0057
       2.03       -39.2955       -17.0055
       2.04       -39.2974       -17.0054
       2.05       -39.2993       -17.0052
       2.06       -39.3012       -17.0050
       2.07       -39.3031       -17.0048
       2.08       -39.3049       -17.0047
       2.09       -39.3068       -17.0045
       2.10       -39.3087       -17.0043
       2.11       -39.3106       -17.0041
       2.12       -39.3125       -17.0039
       2.13       -39.3144       -17.0037
       2.14       -39.3163       -17.0035
       2.15       -39.3182       -17.0033
       2.16       -39.3201       -17.0032
       2.17       -39.3220       -17.0030
       2.18       -39.3239       -17.0028
       2.19       -39.3258       -17.0026
       2.20       -39.3277       -17.0023
       2.21       -39.3296       -17.0021
       2.22       -39.3315       -17.0019
       2.23       -39.3334       -17.0017
       2.24       -39.3353       -17.0015
       2.25       -39.3371       -17.0013
       2.26       -39.3390       -17.0011
       2.27       -39.3409       -17.0009
       2.28       -39.3428       -17.0006
       2.29       -39.3447       -17.0004
       2.30       -39.3465       -17.0002
       2.31       -39.3484       -16.9999
       2.32       -39.3503       -16.9997
       2.33       -39.3521       -16.9995
       2.34       -39.3540       -16.9992
       2.35       -39.3559       -16.9990
       2.36       -39.3577       -16.9987
       2.37       -39.3596       -16.9985
       2.38       -39.3614       -16.9982
       2.39       -39.3632       -16.9980
       2.40       -39.3651       -16.9977
       2.41       -39.3669       -16.9975
       2.42       -39.3687       -16.9972
       2.43       -39.3705       -16.9969
       2.44       -39.3724       -16.9967
       2.45       -39.3742       -16.9964
       2.46       -39.3759       -16.9961
       2.47       -39.3777       -16.9958
       2.48       -39.3795       -16.9955
       2.49       -39.3813       -16.9953
       2.50       -39.3831       -16.9950
       2.51       -39.3848       -16.9947
       2.52       -39.3866       -16.9944
       2.53       -39.3883       -16.9941
       2.54       -39.3901       -16.9938
       2.55       -39.3918       -16.9935
       2.56       -39.3935       -16.9932
       2.57       -39.3952       -16.9929
       2.58       -39.3969       -16.9925
       2.59       -39.3986       -16.9922
       2.60       -39.4003       -16.9919
       2.61       -39.4019       -16.9916
       2.62       -39.4036       -16.9912
       2.63       -39.4053       -16.9909
       2.64       -39.4069       -16.9905
       2.65       -39.4085       -16.9902
       2.66       -39.4101       -16.9899
       2.67       -39.4117       -16.9895
       2.68       -39.4133       -16.9892
       2.69       -39.4149       -16.9888
       2.70       -39.4164       -16.9884
       2.71       -39.4179       -16.9880
       2.72       -39.4195       -16.9877
       2.73       -39.4210       -16.9873
       2.74       -39.4225       -16.9869
       2.75       -39.4240       -16.9865
       2.76       -39.4254       -16.9861
       2.77       -39.4269       -16.9857
       2.78       -39.4283       -16.9853
       2.79       -39.4297       -16.9849
       2.80       -39.4311       -16.9845
       2.81       -39.4325       -16.9841
       2.82       -39.4339       -16.9837
       2.83       -39.4352       -16.9833
       2.84       -39.4365       -16.9828
       2.85       -39.4378       -16.9824
       2.86       -39.4391       -16.9820
       2.87       -39.4404       -16.9815
       2.88       -39.4416       -16.9811
       2.89       -39.4429       -16.9806
       2.90       -39.4441       -16.9801
       2.91       -39.4453       -16.9797
       2.92       -39.4464       -16.9792
       2.93       -39.4476       -16.9787
       2.94       -39.4487       -16.9782
       2.95       -39.4498       -16.9778
       2.96       -39.4508       -16.9773
       2.97       -39.4519       -16.9768
       2.98       -39.4529       -16.9763
       2.99       -39.4539       -16.9757
       3.00       -39.4548       -16.9752
       3.01       -39.4558       -16.9747
       3.02       -39.4567       -16.9742
       3.03       -39.4575       -16.9737
       3.04       -39.4584       -16.9731
       3.05       -39.4592       -16.9726
       3.06       -39.4600       -16.9720
       3.07       -39.4608       -16.9714
       3.08       -39.4615       -16.9709
       3.09       -39.4622       -16.9703
       3.10       -39.4629       -16.9697
       3.11       -39.4635       -16.9691
       3.12       -39.4642       -16.9685
       3.13       -39.4647       -16.9679
       3.14       -39.4653       -16.9673
       3.15       -39.4658       -16.9667
       3.16       -39.4663       -16.9661
       3.17       -39.4667       -16.9655
       3.18       -39.4671       -16.9648
       3.19       -39.4675       -16.9642
       3.20       -39.4678       -16.9635
       3.21       -39.4681       -16.9629
       3.22       -39.4683       -16.9622
       3.23       -39.4685       -16.9615
       3.24       -39.4687       -16.9608
       3.25       -39.4689       -16.9601
       3.26       -39.4689       -16.9594
       3.27       -39.4690       -16.9587
       3.28       -39.4690       -16.9580
       3.29       -39.4690       -16.9573
       3.30       -39.4689       -16.9566
       3.31       -39.4688       -16.9558
       3.32       -39.4686       -16.9551
       3.33       -39.4684       -16.9543
       3.34       -39.4681       -16.9536
       3.35       -39.4678       -16.9528
       3.36       -39.4674       -16.9520
       3.37       -39.4670       -16.9512
       3.38       -39.4666       -16.9504
       3.39       -39.4661       -16.9496
       3.40       -39.4655       -16.9488
       3.41       -39.4649       -16.9479
       3.42       -39.4643       -16.9471
       3.43       -39.4635       -16.9462
       3.44       -39.4628       -16.9454
       3.45       -39.4619       -16.9445
       3.46       -39.4611       -16.9436
       3.47       -39.4601       -16.9427
       3.48       -39.4591       -16.9418
       3.49       -39.4581       -16.9409
       3.50       -39.4569       -16.9400
       3.51       -39.4558       -16.9391
       3.52       -39.4545       -16.9381
       3.53       -39.4532       -16.9372
       3.54       -39.4519       -16.9362
       3.55       -39.4504       -16.9352
       3.56       -39.4489       -16.9342
       3.57       -39.4474       -16.9332
       3.58       -39.4457       -16.9322
       3.59       -39.4441       -16.9312
       3.60       -39.4423       -16.9302
       3.61       -39.4405       -16.9291
       3.62       -39.4385       -16.9280
       3.63       -39.4366       -16.9270
       3.64       -39.4345       -16.9259
       3.65       -39.4324       -16.9248
       3.66       -39.4302       -16.9237
       3.67       -39.4279       -16.9226
       3.68       -39.4256       -16.9214
