 #b(fm)                     Theta(deg)                 Theta(Rutherford)(deg)
   11.800000175833702        1.7289887887081614        1.9431414429924700     
   11.900000177323818        1.7370552681702771        1.9268156139723089     
   12.000000178813934        1.7426145977249479        1.9107618058164633     
   12.100000180304050        1.7459772582444899        1.8949732766958221     
   12.200000181794167        1.7474175802477332        1.8794435057243675     
   12.300000183284283        1.7471779424002358        1.8641661839820074     
   12.400000184774399        1.7454724763640681        1.8491352059726580     
   12.500000186264515        1.7424903365359077        1.8343446614912580     
   12.600000187754631        1.7383985878367776        1.8197888278781420     
   12.700000189244747        1.7333447570053826        1.8054621626390599     
   12.800000190734863        1.7274590861121926        1.7913592964111160     
   12.900000192224979        1.7208565262528681        1.7774750262555017     
   13.000000193715096        1.7136384989402833        1.7638043092594842     
   13.100000195205212        1.7058944547047370        1.7503422564317646     
   13.200000196695328        1.6977032518689368        1.7370841268745494     
   13.300000198185444        1.6891343763947109        1.7240253222188642     
   13.400000199675560        1.6802490214841530        1.7111613813086706     
   13.500000201165676        1.6711010428804420        1.6984879751212816     
   13.600000202655792        1.6617378051355829        1.6860009019114557     
   13.700000204145908        1.6522009301413809        1.6736960825684832     
   13.800000205636024        1.6425269601445120        1.6615695561746406     
   13.900000207126141        1.6327479451595035        1.6496174757554911     
   14.000000208616257        1.6228919623488087        1.6378361042122833     
   14.100000210106373        1.6129835766766136        1.6262218104270403     
   14.200000211596489        1.6030442487065297        1.6147710655325795     
   14.300000213086605        1.5930926951010047        1.6034804393384263     
   14.400000214576721        1.5831452087684508        1.5923465969062534     
   14.500000216066837        1.5732159415845568        1.5813662952664345     
   14.600000217556953        1.5633171554147929        1.5705363802694023     
   14.700000219047070        1.5534594436673719        1.5598537835662114     
   14.800000220537186        1.5436519280182144        1.5493155197104613     
   14.900000222027302        1.5339024323884352        1.5389186833775170     
   15.000000223517418        1.5242176368032692        1.5286604466949427     
   15.100000225007534        1.5146032136850982        1.5185380566784659     
   15.200000226497650        1.5050639485954240        1.5085488327696623     
   15.300000227987766        1.4956038469056849        1.4986901644697355     
   15.400000229477882        1.4862262282349472        1.4889595090657792     
   15.500000230967999        1.4769338098917566        1.4793543894447225     
   15.600000232458115        1.4677287808676320        1.4698723919917427     
   15.700000233948231        1.4586128672186076        1.4605111645683735     
   15.800000235438347        1.4495873896632465        1.4512684145679202     
   15.900000236928463        1.4406533145929117        1.4421419070438901     
   16.000000238418579        1.4318112993336274        1.4331294629086528     
   16.100000239908695        1.4230617318254852        1.4242289571992899     
   16.200000241398811        1.4144047659158083        1.4154383174077054     
